umur,lama_berlangganan,tagihan_bulanan,jumlah_keluhan,jumlah_login,paket_premium,churn
41,55,1335926,9,51,0,1
50,25,440300,3,152,0,0
41,7,529960,5,201,0,1
69,71,1499060,13,10,0,1
28,71,130568,3,67,1,1
66,24,1035495,14,226,0,1
25,11,1419632,5,120,0,1
53,12,787887,9,14,1,1
55,35,1113903,7,56,0,1
57,63,1461146,7,63,0,1
37,68,330066,11,229,0,1
52,57,1401583,5,10,0,1
65,13,594957,0,120,0,0
42,23,102355,12,223,0,1
52,39,196429,0,224,0,0
42,12,578187,13,124,0,1
46,34,538949,2,147,0,1
35,71,1070220,1,227,1,0
63,31,211151,0,29,0,0
35,62,1449246,0,9,1,0
19,13,427521,11,53,1,1
52,31,275477,11,185,0,1
33,2,604898,11,206,1,1
58,15,675817,5,254,0,1
53,57,212833,6,156,1,1
50,34,1252154,14,128,0,1
21,68,1332031,7,57,0,1
50,29,605527,2,194,0,1
31,66,663465,0,75,0,0
38,16,741191,4,88,0,1
65,39,581465,7,80,0,1
37,37,1450405,11,185,1,1
25,21,1356870,10,267,0,1
24,44,168590,13,78,1,1
20,19,1419697,10,144,0,1
34,71,977000,3,128,0,1
50,8,935399,1,13,1,0
65,66,1484792,8,118,0,1
29,41,508286,11,1,0,1
68,70,907932,12,3,1,1
39,61,599203,8,243,0,1
39,26,1001907,2,65,0,0
63,71,634299,6,245,1,1
47,70,279111,12,89,1,1
55,29,502112,0,177,1,0
55,66,457479,7,59,1,1
62,19,1097622,7,231,0,1
68,68,100814,12,175,0,1
25,58,568492,2,166,1,0
44,70,1118585,11,197,0,1
44,57,1430870,14,59,0,1
51,37,103825,4,82,0,0
38,61,674656,3,73,1,0
47,30,508016,6,25,0,1
50,71,1224111,10,242,0,1
45,25,186390,6,115,0,1
64,65,323923,10,179,1,1
50,6,830377,7,261,1,1
22,18,279577,4,113,0,0
65,10,838142,12,265,0,1
36,11,909033,10,37,1,1
21,65,1290325,4,76,1,1
52,65,522768,7,101,0,1
66,52,561107,4,11,1,0
34,67,593915,12,48,1,1
61,31,1271931,13,253,0,1
45,17,264364,12,248,0,1
47,55,228424,0,71,1,0
46,36,225451,10,196,0,1
63,26,428241,2,252,0,0
23,53,771544,1,298,1,0
52,17,1107537,11,221,0,1
58,25,1368984,9,59,0,1
54,2,1078550,4,156,1,1
41,5,1477461,12,201,0,1
46,4,685665,7,266,0,1
66,36,669449,14,34,0,1
63,6,790366,8,254,0,1
48,21,248616,8,22,1,1
52,26,629527,0,164,1,0
50,55,669073,0,27,0,0
69,39,123358,0,52,0,0
38,33,575890,0,283,1,0
49,14,1336098,8,297,0,1
40,56,319592,0,84,0,0
50,21,259500,6,123,1,1
20,46,1157672,5,206,0,1
35,16,1196158,8,164,0,1
42,16,812755,10,46,1,1
59,29,998027,8,155,1,1
48,8,1480204,3,265,0,0
20,3,887719,8,278,1,1
57,19,1466908,13,4,0,1
63,66,475038,14,81,0,1
41,22,1281420,12,118,1,1
67,46,1332702,13,261,0,1
49,13,1072382,5,124,0,1
64,33,751088,4,214,0,1
39,5,1469013,8,27,0,1
40,27,574514,14,268,0,1
19,24,631501,6,24,1,1
44,67,1425661,8,6,0,1
59,63,982313,4,193,0,0
19,48,509180,3,79,0,0
43,63,1175431,9,35,0,1
34,12,1076273,2,257,0,1
57,28,1101008,4,112,0,1
50,44,901341,8,293,0,1
26,43,834474,2,201,0,0
60,17,516584,0,13,1,0
65,40,194135,1,154,0,0
56,49,695543,9,84,0,1
46,57,1361144,4,139,0,1
59,64,335787,2,96,0,0
43,57,896784,5,184,0,0
52,70,458565,14,188,0,1
67,43,966971,14,81,0,1
42,23,1419943,10,299,0,1
41,27,1397624,7,179,0,1
30,58,964686,5,104,0,1
24,37,150044,9,209,0,1
53,6,1104593,8,248,1,1
62,65,976650,14,71,1,1
37,6,709288,5,160,1,0
18,50,827362,13,132,0,1
25,22,1441748,4,239,0,1
63,25,157965,3,77,0,0
33,51,1383042,1,57,0,0
31,48,169776,5,124,0,1
29,70,393603,1,10,0,0
68,65,190932,4,26,0,1
40,60,968763,0,206,0,0
32,46,780049,2,221,0,1
45,36,430126,9,249,0,1
51,58,496562,4,207,0,1
19,38,276251,12,108,0,1
49,11,926949,12,295,0,1
40,12,431822,6,60,0,1
39,42,312678,7,121,0,1
68,39,474635,6,238,0,1
42,71,959055,6,105,0,1
39,11,582504,10,278,0,1
39,36,1360819,14,35,1,1
66,52,410719,1,37,1,0
69,31,1455759,5,71,1,1
59,33,805315,4,55,0,1
23,13,1228836,10,166,0,1
32,18,680159,14,220,0,1
60,41,291750,8,75,1,1
54,58,745061,11,209,1,1
50,56,524567,9,210,1,1
25,24,684981,10,227,0,1
61,31,917865,3,224,0,1
61,55,1223373,11,253,0,1
22,10,310087,6,155,1,1
56,60,902236,10,148,0,1
21,2,931533,7,278,0,1
23,15,815475,13,230,0,1
62,3,702651,5,189,1,0
49,43,1136374,2,224,0,0
69,31,1256480,10,64,1,1
47,70,1455420,4,107,0,0
64,67,739240,0,79,0,0
52,56,439720,13,132,0,1
57,63,378271,12,173,1,1
69,15,1366366,7,63,1,1
33,10,1107567,11,209,0,1
30,38,622471,11,296,0,1
67,47,636761,11,97,0,1
59,57,1379158,10,171,0,1
47,50,948268,1,88,0,0
36,71,404608,12,225,0,1
34,15,1471598,9,142,0,1
36,18,1051712,6,195,0,1
45,2,459625,8,178,1,1
43,43,1104608,0,53,1,0
54,26,1092187,12,195,0,1
43,71,312875,3,216,0,0
40,38,927946,6,297,1,1
26,42,1245564,13,24,0,1
29,5,1415856,8,66,0,1
18,11,1246691,1,162,1,1
18,65,131516,1,111,1,0
64,34,439126,5,205,1,1
51,1,145099,2,136,0,0
49,2,976492,3,278,0,0
65,20,861733,2,164,0,0
42,61,735361,12,270,0,1
57,21,937620,0,227,0,0
62,68,629848,13,126,0,1
18,12,604373,13,269,0,1
33,22,208763,5,247,0,1
56,20,570409,10,35,1,1
22,1,315448,10,154,0,1
39,30,1190006,12,144,0,1
46,24,307932,1,259,0,0
20,14,229189,1,18,0,1
29,36,1100598,6,57,0,1
43,69,1132302,4,262,1,1
33,24,1299591,7,35,0,1
68,60,406658,13,210,0,1
54,55,311980,1,147,0,0
39,24,1030135,12,101,0,1
46,24,170408,9,75,0,1
31,54,1372731,7,67,1,1
45,26,929773,6,65,1,1
22,66,244763,12,221,1,1
64,38,1415473,9,150,0,1
66,65,1419365,13,273,1,1
47,51,336192,7,277,0,1
63,35,458121,10,67,1,1
69,43,664312,2,234,0,0
22,29,1360246,7,202,1,1
29,37,1289283,14,232,0,1
33,58,921601,5,162,1,0
43,54,440791,1,97,0,0
43,39,340739,5,8,0,1
65,42,287401,4,248,0,1
38,28,544374,2,226,0,0
56,29,339354,0,240,0,0
53,43,248865,6,74,0,1
50,3,133677,1,16,0,0
47,10,909454,0,50,0,0
54,59,1088652,0,227,0,0
40,14,258337,6,193,0,1
27,47,624818,11,279,0,1
22,42,371695,0,237,0,0
53,32,390538,8,270,0,1
51,32,667275,5,156,1,1
69,42,954528,3,253,1,0
48,32,1494817,11,117,1,1
27,26,1481359,3,49,0,1
36,1,102781,14,277,1,1
49,56,1165906,12,51,0,1
18,2,1415977,11,180,0,1
22,30,682930,13,30,1,1
62,71,413807,4,245,1,0
21,52,1384015,1,89,1,1
33,9,887313,4,30,0,0
41,22,495063,1,101,0,0
33,34,860263,11,229,0,1
19,49,1068631,3,96,0,0
66,1,745553,9,66,1,1
45,53,1498366,10,191,0,1
49,40,1275724,13,210,0,1
44,45,1448056,4,136,0,0
37,68,271003,5,183,0,1
41,9,537140,5,55,1,0
29,22,909398,8,249,0,1
67,18,1159896,3,281,0,1
52,43,689413,12,59,0,1
50,39,1085256,13,127,0,1
50,6,1370748,4,204,1,0
68,48,335077,5,213,0,1
60,7,1265872,3,126,0,1
54,69,225355,5,71,0,1
29,16,551930,1,215,1,0
20,1,111780,11,89,0,1
18,37,962662,12,232,1,1
50,37,614249,6,232,0,0
57,64,1099602,2,62,1,0
27,62,736984,13,246,0,1
60,61,730363,9,134,0,1
61,33,1402307,3,1,0,0
46,66,233001,8,160,0,1
30,30,610452,14,139,0,1
29,20,1005954,14,201,0,1
48,60,984847,11,124,0,1
63,24,996147,14,81,0,1
19,4,222636,12,163,0,1
68,37,1159692,4,239,1,1
67,4,1367602,8,212,0,1
52,18,1494021,9,148,1,1
40,66,529111,12,71,0,1
34,48,648155,9,102,0,1
43,33,995939,9,182,0,1
25,58,427716,11,183,0,1
46,28,558450,9,12,0,1
43,35,1232324,5,231,1,1
27,10,242324,7,149,0,1
43,65,185261,4,262,1,1
51,42,1024510,4,23,0,1
68,9,868731,2,188,0,0
58,60,320667,6,132,1,0
24,15,656459,1,49,1,0
21,57,255346,10,182,0,1
67,69,651936,11,25,0,1
62,22,431798,2,137,0,1
28,64,357471,14,10,0,1
46,41,309691,1,295,0,0
53,71,149647,14,101,1,1
42,56,571939,12,10,0,1
38,23,1052254,7,111,0,1
53,25,484560,3,93,0,0
27,6,1098958,9,259,0,1
54,34,778514,7,257,1,0
26,63,803526,7,166,0,1
41,9,1444721,7,208,0,1
52,60,1321172,7,44,0,1
66,49,1086059,7,204,0,1
52,51,101304,11,41,0,1
65,60,747010,8,284,1,0
53,70,998880,1,99,0,0
35,37,1066788,8,271,1,1
66,31,968800,7,5,0,1
56,41,1236903,10,41,1,1
49,62,896454,9,252,0,1
41,58,1355534,0,75,0,0
40,14,177354,13,41,0,1
49,36,526833,4,267,0,1
54,36,1268621,10,216,0,1
29,8,289896,1,63,1,0
66,26,1272356,9,178,0,1
30,36,825750,4,28,0,0
40,48,1182883,12,274,0,1
42,28,347659,14,215,0,1
52,68,885244,7,53,1,1
58,62,1413964,8,79,0,1
47,51,1173666,8,193,0,1
34,42,426421,0,199,0,0
66,29,735847,6,12,0,1
37,10,199895,11,221,0,1
65,39,1271217,10,192,0,1
42,1,541752,7,239,1,1
39,39,369999,9,269,1,1
30,21,353555,2,297,1,0
36,65,1009395,12,98,1,1
66,15,1407421,5,219,0,1
53,4,1003247,10,103,0,1
29,60,1049456,2,64,0,1
58,61,1259689,8,144,0,1
36,20,1461094,12,37,0,1
29,10,1023194,2,27,0,1
26,34,636809,1,288,0,0
24,48,724434,8,236,0,1
45,33,1355667,14,125,0,1
31,61,244776,10,84,0,1
48,10,158933,12,236,1,1
69,54,143856,13,245,1,1
36,65,661544,7,265,0,1
64,1,523831,7,248,1,1
33,5,221638,1,291,0,0
22,15,1033016,5,204,0,1
52,28,894733,12,227,0,1
29,23,1235425,12,239,0,1
42,17,829353,4,72,0,1
69,13,974479,13,158,0,1
38,14,449135,11,211,1,1
53,11,949490,1,135,1,0
40,28,592474,4,282,0,0
33,42,1082430,3,163,0,0
56,61,1032511,8,136,0,1
62,64,942252,11,170,1,1
59,31,1032930,0,151,0,0
56,10,1090135,5,164,0,1
31,8,1455511,6,296,1,1
48,21,320712,14,103,0,1
22,59,1117765,11,221,0,1
52,50,891376,5,281,1,0
40,69,531042,4,128,0,0
46,70,916929,11,219,0,1
60,30,914155,3,172,0,1
28,17,1052791,4,95,0,0
35,20,898277,8,51,1,1
64,48,561322,4,93,0,1
29,2,316879,9,63,1,1
26,37,1385655,14,20,0,1
27,1,1204145,7,105,0,1
61,4,181434,6,199,0,1
34,54,1359573,3,280,1,1
55,25,1393366,9,281,0,1
24,3,1042967,4,99,0,1
63,9,1105844,6,26,0,1
30,34,1200658,5,244,1,0
57,43,547905,12,62,1,1
59,22,438551,2,37,0,1
26,70,1106137,9,126,0,1
67,2,951198,14,70,0,1
44,66,1214287,2,133,0,0
19,32,608469,1,252,0,0
22,16,736288,13,12,0,1
46,1,939941,2,173,1,0
54,48,1433077,10,89,0,1
55,50,928786,9,288,0,1
36,13,400714,12,206,1,1
25,15,116263,0,61,1,0
65,53,1329747,12,38,0,1
62,44,1353960,8,59,0,1
18,8,602574,1,104,0,0
39,46,1223924,11,238,0,1
69,69,709563,12,126,0,1
34,19,875299,2,82,1,0
24,38,1430295,4,219,0,0
42,11,1170807,9,104,1,1
62,43,803091,11,73,0,1
21,20,909532,3,134,0,1
53,20,1116339,12,61,0,1
23,21,290409,4,0,1,0
48,57,873418,5,78,0,1
36,50,111357,4,64,0,1
61,26,560189,9,182,0,1
56,30,780306,0,65,0,0
44,31,679437,5,207,0,1
27,42,1154142,8,53,0,1
43,68,746762,2,220,0,0
36,61,928008,14,235,0,1
56,61,1480270,1,99,0,0
20,70,489203,5,102,1,0
62,68,873358,11,181,0,1
30,17,441293,13,107,1,1
67,19,395843,2,11,0,0
45,51,1396665,3,85,0,0
37,70,1460265,5,287,0,0
45,63,593985,11,213,0,1
25,30,1332077,12,43,0,1
58,25,318422,11,77,0,1
56,71,909818,5,54,0,1
18,26,1469993,11,271,0,1
20,56,928017,1,70,0,0
30,22,859652,12,67,0,1
45,19,1156085,12,179,0,1
66,31,342225,2,173,0,0
42,26,963039,12,168,0,1
50,42,1372926,8,260,0,1
55,41,308222,1,124,0,0
23,23,355117,2,130,0,0
61,47,1211881,8,233,0,1
62,13,1453571,3,153,0,1
49,66,1487630,14,124,0,1
62,66,1182983,0,99,1,0
64,16,933038,10,52,0,1
38,28,1359166,12,127,0,1
33,35,1114298,1,13,0,0
38,41,372659,14,4,1,1
28,31,1290478,2,249,1,1
54,32,1471351,8,26,0,1
53,54,1274072,14,124,0,1
52,59,1024303,8,28,0,1
36,41,829443,10,2,0,1
37,66,1376746,14,227,0,1
35,54,507544,5,136,0,1
64,40,1377421,13,256,0,1
58,28,1457416,10,239,1,1
66,37,138872,5,278,1,1
31,65,968515,2,159,0,0
32,55,647594,4,5,1,0
48,4,145693,14,142,0,1
18,10,717654,10,180,0,1
20,47,431061,3,29,0,1
33,14,462512,9,252,1,1
40,38,598109,9,39,0,1
28,12,1374025,11,186,1,1
29,45,238519,8,226,0,1
27,17,579120,8,219,1,1
49,35,251343,0,42,1,0
33,66,559091,7,143,1,1
25,41,847405,14,277,1,1
55,67,727722,8,173,0,1
29,29,812203,4,246,0,1
41,18,388365,3,172,0,0
45,20,358180,9,40,0,1
25,14,156467,3,49,1,0
45,34,211414,1,179,0,0
53,49,143086,8,158,1,1
43,54,705432,4,36,1,1
25,31,1149214,10,26,0,1
67,58,1090749,2,255,0,0
45,42,957111,5,277,0,1
45,58,1342582,8,248,1,1
54,30,953192,8,180,0,1
58,25,147234,11,16,0,1
53,63,1471769,12,124,0,1
44,19,803407,4,211,0,1
34,8,1258982,7,236,0,1
26,3,1289389,3,298,1,1
50,67,875471,4,199,0,0
37,17,425148,6,180,0,1
30,14,1472209,6,129,0,1
45,9,205711,12,120,0,1
65,62,1033146,6,186,0,1
46,21,1485823,7,226,0,1
30,37,597288,10,161,0,1
63,11,348134,4,111,0,1
52,20,218778,14,133,0,1
23,35,1181679,0,185,0,0
35,53,1128761,10,174,0,1
68,47,1163906,8,260,1,1
22,52,1281782,8,268,0,1
64,8,1273255,14,281,0,1
42,4,673697,6,223,1,1
19,27,326270,11,251,0,1
27,44,100184,5,63,0,1
47,40,589139,12,123,0,1
67,47,221529,12,69,0,1
62,44,155810,4,237,0,1
22,48,1348698,4,74,1,0
50,52,1137825,14,9,0,1
18,68,659408,2,267,0,0
35,11,803844,9,87,0,1
49,4,1485756,0,49,1,0
64,48,180528,5,142,0,1
66,26,286185,7,58,1,0
28,39,284168,13,210,0,1
38,58,215742,1,71,0,0
43,19,772445,7,243,0,1
42,58,1293150,7,238,1,1
39,28,408623,9,189,0,1
44,66,703672,7,49,1,1
66,10,1236533,9,204,0,1
30,58,1425146,14,53,1,1
50,14,869867,2,223,1,0
51,15,933297,9,155,0,1
58,33,671692,7,50,1,1
52,17,943855,10,240,1,1
18,24,190947,14,160,0,1
38,30,1179728,11,128,1,1
65,62,466014,11,84,0,1
23,13,392881,13,68,1,1
45,62,678613,3,54,0,0
34,47,1318415,2,84,0,0
22,16,1373440,10,79,1,1
48,66,968591,8,219,0,1
22,43,815597,7,109,0,1
55,8,1466433,9,252,0,1
20,3,1190391,12,163,1,1
40,12,558213,12,102,0,1
54,16,1143030,1,112,0,0
54,59,818596,12,251,0,1
27,49,1498507,12,151,0,1
27,63,1488963,14,250,0,1
36,62,122743,12,87,0,1
34,49,943171,13,99,0,1
38,51,1093830,7,119,1,1
31,33,1131109,10,203,1,1
26,30,984588,10,148,1,1
63,59,754563,2,200,1,0
18,15,1360780,9,294,0,1
68,23,130339,11,2,0,1
62,45,1182697,13,67,1,1
30,62,536211,5,153,0,0
21,71,1069536,4,181,0,0
18,15,1067335,7,12,0,1
66,46,1190022,8,188,0,1
57,64,1397956,10,19,0,1
49,46,1275106,6,282,0,1
51,56,538894,5,9,1,1
45,44,1038202,5,187,0,1
48,29,860528,0,18,0,0
25,62,183404,4,142,0,0
56,52,1458638,13,102,1,1
43,54,1245242,7,240,0,1
51,57,608594,5,151,0,1
20,66,1336883,11,271,0,1
67,22,1387156,0,187,0,0
29,20,876716,14,209,0,1
18,33,1118155,14,176,0,1
61,25,1381660,4,193,0,0
22,46,391190,12,176,0,1
47,57,319368,10,65,0,1
47,5,1149213,11,1,0,1
34,55,450857,4,270,0,0
65,61,1099291,11,59,1,1
64,8,1437529,2,42,1,1
40,16,1041260,7,92,0,1
32,48,552685,14,225,0,1
54,61,177185,8,285,1,1
38,15,1013601,5,62,1,1
31,65,1094406,5,279,1,0
19,22,1404862,1,13,0,1
28,3,812515,9,27,0,1
68,54,478337,1,141,1,0
56,14,206745,5,107,0,1
55,36,1476036,11,289,0,1
51,67,695144,7,77,1,1
55,10,1094764,1,246,1,0
67,49,401355,8,11,1,1
51,65,1496189,12,183,0,1
35,57,403561,11,295,0,1
47,27,840018,13,239,0,1
32,5,293899,8,262,1,1
44,71,1048941,14,72,0,1
68,57,906951,13,67,0,1
51,15,894415,3,286,1,0
69,30,1135603,3,219,0,0
55,20,892067,3,46,1,0
50,37,988805,10,57,0,1
41,3,990987,4,23,0,0
32,41,472027,7,289,0,1
47,39,348945,1,23,0,0
59,26,250694,10,63,0,1
68,2,174975,4,254,0,0
34,23,160666,13,147,0,1
22,23,463021,1,115,0,0
46,16,1466725,14,97,0,1
21,9,242475,10,238,1,1
